angle_of_attack_deg,spin_parameter,surface_orientation,cd,cl,cy,cm_pitch,cm_roll,cm_yaw,source
-90.0,0.0,body_z_is_top,1.0,0.0,0.0,0.0,0.0,0.0,assumed
-90.0,0.05,body_z_is_top,1.0,0.0,0.05,0.0,0.0,0.0,assumed
-90.0,0.1,body_z_is_top,1.0,0.0,0.1,0.0,0.0,0.0,assumed
-90.0,0.2,body_z_is_top,1.0,0.0,0.2,0.0,0.0,0.0,assumed
-90.0,0.3,body_z_is_top,1.0,0.0,0.3,0.0,0.0,0.0,assumed
-90.0,0.5,body_z_is_top,1.0,0.0,0.5,0.0,0.0,0.0,assumed
-90.0,1.0,body_z_is_top,1.0,0.0,0.5,0.0,0.0,0.0,assumed
-85.0,0.0,body_z_is_top,1.051679767200287,-0.09773843811168233,0.0,0.0,0.0,0.0,assumed
-85.0,0.05,body_z_is_top,1.051679767200287,-0.09773843811168233,0.05,0.0,0.0,0.0,assumed
-85.0,0.1,body_z_is_top,1.051679767200287,-0.09773843811168233,0.1,0.0,0.0,0.0,assumed
-85.0,0.2,body_z_is_top,1.051679767200287,-0.09773843811168233,0.2,0.0,0.0,0.0,assumed
-85.0,0.3,body_z_is_top,1.051679767200287,-0.09773843811168233,0.3,0.0,0.0,0.0,assumed
-85.0,0.5,body_z_is_top,1.051679767200287,-0.09773843811168233,0.5,0.0,0.0,0.0,assumed
-85.0,1.0,body_z_is_top,1.051679767200287,-0.09773843811168233,0.5,0.0,0.0,0.0,assumed
-80.0,0.0,body_z_is_top,1.0953556163505744,-0.19547687622336493,0.0,0.0,0.0,0.0,assumed
-80.0,0.05,body_z_is_top,1.0953556163505744,-0.19547687622336493,0.05,0.0,0.0,0.0,assumed
-80.0,0.1,body_z_is_top,1.0953556163505744,-0.19547687622336493,0.1,0.0,0.0,0.0,assumed
-80.0,0.2,body_z_is_top,1.0953556163505744,-0.19547687622336493,0.2,0.0,0.0,0.0,assumed
-80.0,0.3,body_z_is_top,1.0953556163505744,-0.19547687622336493,0.3,0.0,0.0,0.0,assumed
-80.0,0.5,body_z_is_top,1.0953556163505744,-0.19547687622336493,0.5,0.0,0.0,0.0,assumed
-80.0,1.0,body_z_is_top,1.0953556163505744,-0.19547687622336493,0.5,0.0,0.0,0.0,assumed
-75.0,0.0,body_z_is_top,1.1306951478666298,-0.2932153143350472,0.0,0.0,0.0,0.0,assumed
-75.0,0.05,body_z_is_top,1.1306951478666298,-0.2932153143350472,0.05,0.0,0.0,0.0,assumed
-75.0,0.1,body_z_is_top,1.1306951478666298,-0.2932153143350472,0.1,0.0,0.0,0.0,assumed
-75.0,0.2,body_z_is_top,1.1306951478666298,-0.2932153143350472,0.2,0.0,0.0,0.0,assumed
-75.0,0.3,body_z_is_top,1.1306951478666298,-0.2932153143350472,0.3,0.0,0.0,0.0,assumed
-75.0,0.5,body_z_is_top,1.1306951478666298,-0.2932153143350472,0.5,0.0,0.0,0.0,assumed
-75.0,1.0,body_z_is_top,1.1306951478666298,-0.2932153143350472,0.5,0.0,0.0,0.0,assumed
-70.0,0.0,body_z_is_top,1.1574294065750232,-0.39095375244672986,0.0,0.0,0.0,0.0,assumed
-70.0,0.05,body_z_is_top,1.1574294065750232,-0.39095375244672986,0.05,0.0,0.0,0.0,assumed
-70.0,0.1,body_z_is_top,1.1574294065750232,-0.39095375244672986,0.1,0.0,0.0,0.0,assumed
-70.0,0.2,body_z_is_top,1.1574294065750232,-0.39095375244672986,0.2,0.0,0.0,0.0,assumed
-70.0,0.3,body_z_is_top,1.1574294065750232,-0.39095375244672986,0.3,0.0,0.0,0.0,assumed
-70.0,0.5,body_z_is_top,1.1574294065750232,-0.39095375244672986,0.5,0.0,0.0,0.0,assumed
-70.0,1.0,body_z_is_top,1.1574294065750232,-0.39095375244672986,0.5,0.0,0.0,0.0,assumed
-65.0,0.0,body_z_is_top,1.175354928624397,-0.4886921905584122,0.0,0.0,0.0,0.0,assumed
-65.0,0.05,body_z_is_top,1.175354928624397,-0.4886921905584122,0.05,0.0,0.0,0.0,assumed
-65.0,0.1,body_z_is_top,1.175354928624397,-0.4886921905584122,0.1,0.0,0.0,0.0,assumed
-65.0,0.2,body_z_is_top,1.175354928624397,-0.4886921905584122,0.2,0.0,0.0,0.0,assumed
-65.0,0.3,body_z_is_top,1.175354928624397,-0.4886921905584122,0.3,0.0,0.0,0.0,assumed
-65.0,0.5,body_z_is_top,1.175354928624397,-0.4886921905584122,0.5,0.0,0.0,0.0,assumed
-65.0,1.0,body_z_is_top,1.175354928624397,-0.4886921905584122,0.5,0.0,0.0,0.0,assumed
-60.0,0.0,body_z_is_top,1.1843352899682293,-0.5864306286700948,0.0,0.0,0.0,0.0,assumed
-60.0,0.05,body_z_is_top,1.1843352899682293,-0.5864306286700948,0.05,0.0,0.0,0.0,assumed
-60.0,0.1,body_z_is_top,1.1843352899682293,-0.5864306286700948,0.1,0.0,0.0,0.0,assumed
-60.0,0.2,body_z_is_top,1.1843352899682293,-0.5864306286700948,0.2,0.0,0.0,0.0,assumed
-60.0,0.3,body_z_is_top,1.1843352899682293,-0.5864306286700948,0.3,0.0,0.0,0.0,assumed
-60.0,0.5,body_z_is_top,1.1843352899682293,-0.5864306286700948,0.5,0.0,0.0,0.0,assumed
-60.0,1.0,body_z_is_top,1.1843352899682293,-0.5864306286700948,0.5,0.0,0.0,0.0,assumed
-55.0,0.0,body_z_is_top,1.1843021446342032,-0.6841690667817771,0.0,0.0,0.0,0.0,assumed
-55.0,0.05,body_z_is_top,1.1843021446342032,-0.6841690667817771,0.05,0.0,0.0,0.0,assumed
-55.0,0.1,body_z_is_top,1.1843021446342032,-0.6841690667817771,0.1,0.0,0.0,0.0,assumed
-55.0,0.2,body_z_is_top,1.1843021446342032,-0.6841690667817771,0.2,0.0,0.0,0.0,assumed
-55.0,0.3,body_z_is_top,1.1843021446342032,-0.6841690667817771,0.3,0.0,0.0,0.0,assumed
-55.0,0.5,body_z_is_top,1.1843021446342032,-0.6841690667817771,0.5,0.0,0.0,0.0,assumed
-55.0,1.0,body_z_is_top,1.1843021446342032,-0.6841690667817771,0.5,0.0,0.0,0.0,assumed
-50.0,0.0,body_z_is_top,1.1752557448783245,-0.7819075048934595,0.0,0.0,0.0,0.0,assumed
-50.0,0.05,body_z_is_top,1.1752557448783245,-0.7819075048934595,0.05,0.0,0.0,0.0,assumed
-50.0,0.1,body_z_is_top,1.1752557448783245,-0.7819075048934595,0.1,0.0,0.0,0.0,assumed
-50.0,0.2,body_z_is_top,1.1752557448783245,-0.7819075048934595,0.2,0.0,0.0,0.0,assumed
-50.0,0.3,body_z_is_top,1.1752557448783245,-0.7819075048934595,0.3,0.0,0.0,0.0,assumed
-50.0,0.5,body_z_is_top,1.1752557448783245,-0.7819075048934595,0.5,0.0,0.0,0.0,assumed
-50.0,1.0,body_z_is_top,1.1752557448783245,-0.7819075048934595,0.5,0.0,0.0,0.0,assumed
-45.0,0.0,body_z_is_top,1.1572649392651007,-0.879645943005142,0.0,0.0,0.0,0.0,assumed
-45.0,0.05,body_z_is_top,1.1572649392651007,-0.879645943005142,0.05,0.0,0.0,0.0,assumed
-45.0,0.1,body_z_is_top,1.1572649392651007,-0.879645943005142,0.1,0.0,0.0,0.0,assumed
-45.0,0.2,body_z_is_top,1.1572649392651007,-0.879645943005142,0.2,0.0,0.0,0.0,assumed
-45.0,0.3,body_z_is_top,1.1572649392651007,-0.879645943005142,0.3,0.0,0.0,0.0,assumed
-45.0,0.5,body_z_is_top,1.1572649392651007,-0.879645943005142,0.5,0.0,0.0,0.0,assumed
-45.0,1.0,body_z_is_top,1.1572649392651007,-0.879645943005142,0.5,0.0,0.0,0.0,assumed
-40.0,0.0,body_z_is_top,1.1304666486883936,-0.9773843811168245,0.0,0.0,0.0,0.0,assumed
-40.0,0.05,body_z_is_top,1.1304666486883936,-0.9773843811168245,0.05,0.0,0.0,0.0,assumed
-40.0,0.1,body_z_is_top,1.1304666486883936,-0.9773843811168245,0.1,0.0,0.0,0.0,assumed
