# synthetic observation from synthetic_truth_flick.yaml, noise_m=0.005, fps=60.0, seed=1
time_sec,x_m,y_m,z_m,confidence
0.000000,0.001728,0.004108,1.001652,0.905437
0.016667,0.222673,0.005914,1.009773,0.898499
0.033333,0.451462,0.008388,1.015837,0.908698
0.050000,0.676446,0.012330,1.022161,0.816457
0.066667,0.888092,0.020595,1.021382,0.941481
0.083333,1.107632,0.033257,1.025655,0.871263
0.100000,1.309745,0.045763,1.029454,0.841342
0.116667,1.517535,0.069770,1.035722,0.931888
0.133333,1.706940,0.072287,1.030079,0.965866
0.150000,1.916372,0.103337,1.031304,0.924651
0.166667,2.123539,0.119279,1.026602,0.908058
0.183333,2.314186,0.152606,1.029096,0.853389
0.200000,2.489051,0.167563,1.022937,1.000000
0.216667,2.676509,0.197929,1.014038,0.944013
0.233333,2.856709,0.229375,1.011363,0.843035
0.250000,3.035478,0.266021,1.002778,0.861018
0.266667,3.212788,0.303697,0.999432,0.904349
0.283333,3.377495,0.337896,0.986910,0.822263
0.300000,3.554756,0.365421,0.984661,0.908432
0.316667,3.716097,0.402573,0.968279,0.877046
0.333333,3.879422,0.449663,0.953794,0.961314
0.350000,4.033740,0.490177,0.944334,0.948108
0.366667,4.197803,0.535210,0.925501,0.764436
0.383333,4.352518,0.581077,0.918456,0.902085
0.400000,4.499135,0.623523,0.906540,0.819127
0.416667,4.656981,0.664068,0.882330,0.955482
0.433333,4.798680,0.710785,0.877229,0.908405
0.450000,4.944387,0.753227,0.850142,0.927420
0.466667,5.089531,0.814260,0.834844,0.846744
0.483333,5.224348,0.863646,0.821484,0.991422
0.500000,5.365564,0.914300,0.798941,1.000000
0.516667,5.494348,0.970907,0.767619,0.846761
0.533333,5.627077,1.019383,0.750396,0.918641
0.550000,5.759271,1.070501,0.739683,0.866335
0.566667,5.884561,1.132564,0.718521,0.898822
0.583333,6.012468,1.181192,0.681126,0.836718
0.600000,6.142503,1.242233,0.660747,0.993357
0.616667,6.255493,1.299892,0.643172,0.851541
0.633333,6.373865,1.359793,0.609297,0.885196
0.650000,6.492887,1.414222,0.589402,0.925074
0.666667,6.612957,1.472204,0.546196,0.867622
0.683333,6.721205,1.553751,0.525237,0.888034
0.700000,6.822667,1.605868,0.497019,0.871818
0.716667,6.935236,1.663800,0.474138,0.893327
0.733333,7.042661,1.730236,0.440132,0.841473
0.750000,7.145491,1.791223,0.405090,0.878101
0.766667,7.252906,1.851830,0.372501,0.889655
0.783333,7.361478,1.922446,0.345124,0.883314
0.800000,7.456257,1.986489,0.310991,0.902834
0.816667,7.553543,2.056491,0.272397,0.885345
0.833333,7.651540,2.119202,0.238301,0.937661
0.850000,7.737089,2.187852,0.216441,0.883840
0.866667,7.828218,2.258819,0.161681,0.893168
0.883333,7.924901,2.331279,0.134603,0.866761
0.900000,8.010907,2.397239,0.102062,0.873674
0.916667,8.104869,2.475771,0.061748,0.836775
0.933333,8.184461,2.535621,0.021854,0.925939
